feature,importance,weighted_importance
initial_value,1510.3895084670528,1697.6295736923473
sahm_indicator,1045.3975932643446,1174.8694907658116
vix_level,494.54698214378305,555.839676912729
yield_curve_spread,470.2331693626445,528.4855948254924
category_production,446.20906737712886,501.47736989577174
is_GDPC1,244.4455667197985,274.57995907309436
is_PAYEMS,181.0583014484465,203.44669580376848
days_from_quarter_end,159.66966371449146,179.43052166500215
n_observations_w4,158.83150041881456,178.505554736123
sahm_recession_signal,151.36924063887128,170.13015476290553
month,128.88452402516592,144.77841770834215
is_ICSA,111.45299966557462,125.26323744980435
is_RSXFS,87.05994389632427,97.71104406233853
is_year_end,85.82255579008022,96.4500907820685
category_employment,47.48586156571091,53.326017955359426
n_observations_w8,39.700579651030445,44.60518159219095
is_INDPRO,33.56135762745514,37.7201864884476
quarter,13.824978217595481,15.47780057371341
is_quarter_end_month,1.9173830000285144,2.148022751222534
is_q1,1.677917128112851,1.8638978358901637
